Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Rairdon's Nissan - Auburn,713 35th St NE,,Auburn,WA,98002,,,E,,Private,Service center only,,,,,,1,,,Non-Networked,,200-9,47.338754,-122.221114,2024-02-12,39776,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Burien Nissan,16042 1st Ave S,,Burien,WA,98148,,206-242-7070,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,47.458152,-122.333513,2024-02-12,39780,2025-12-31 20:14:13 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Olympia Nissan,2220 Carriage Dr SW,,Olympia,WA,98502,,360-352-8558,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,47.030919,-122.930155,2024-02-12,39786,2025-12-31 20:14:13 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,46.236607,-119.128998,2024-02-12,39787,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Tacoma Nissan,4030 S Tacoma Way,,Tacoma,WA,98409,,253-473-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,47.21973,-122.485672,2024-02-12,39797,2025-12-31 20:14:13 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,,Vancouver,WA,98662,,360-892-9004,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,45.64821,-122.59841,2024-02-12,39798,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,Located on Down Ramp,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.616104,-122.19696,2026-01-04,40383,2026-01-04 01:33:01 UTC,,,,2011-05-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,KRC SKYLINE SKYLINE #1,10900 NE 4th St,Inside parking garage on right side,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.61434,-122.194037,2026-01-04,40384,2026-01-04 01:26:52 UTC,,,,2011-05-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Caplan's Rainbow Parking,214 Columbia St,,Seattle,WA,98104,,206-682-2991,E,,Public,Garage business hours; see the valet for access,,,,,,2,,,Non-Networked,,200-8,47.604115,-122.332907,2024-06-13,41579,2025-02-12 00:16:32 UTC,P,,,2011-10-01,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,CITY OF SEATAC CITY HALL 1,4800 S 188th St,,SeaTac,WA,98188,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.434029,-122.273288,2026-01-04,41776,2026-01-04 01:13:09 UTC,,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Puget Sound Energy,3130 S 38th St,,Tacoma,WA,98409,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.22213,-122.478493,2024-10-11,41779,2025-10-10 13:29:22 UTC,T,,,2011-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,City of Tacoma - Municipal Building,747 Market St,Located in staff parking garage,Tacoma,WA,98402,,,E,,Private,Fleet use only,,,,,,2,,,Non-Networked,,200-9,47.255854,-122.44172,2023-08-10,42044,2025-10-14 15:52:47 UTC,LG,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,BELLEVUE SBCC #2,14509 SE Newport Way,Right-Hand Station,Bellevue,WA,98006,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.568886,-122.145268,2026-01-04,42228,2026-01-04 01:34:12 UTC,,,,2011-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,,Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.443255,-122.212445,2026-01-05,43303,2026-01-05 00:57:58 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,City of Renton - City Shops,3555 NE 2nd St,,Renton,WA,98056,,,E,,Private,,,,,,,2,,,Non-Networked,,200-9,47.483635,-122.170748,2025-09-12,43795,2025-09-12 21:22:13 UTC,LG,,,2017-01-12,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,TAC PW PARKING GLASS MSM CP 01,1801 Dock St,Across from the museum elevators,Tacoma,WA,98402,,888-758-4389,T,2025-12-04,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.245934,-122.43398,2026-01-04,43806,2026-01-04 01:16:16 UTC,,,,2012-01-31,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,,Everett,WA,98204,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.90272981640562,-122.2469883724914,2024-02-12,44137,2025-02-12 00:16:32 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,46.236607,-119.128998,2024-02-12,44148,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Bill Korum's Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,,253-848-4507,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.207791,-122.294492,2024-02-12,44150,2025-12-31 20:58:04 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.448416,-122.218892,2024-02-12,44151,2025-12-31 20:14:13 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,City of Seattle - Central Library,1000 4th Ave,,Seattle,WA,98104,,206-386-4636,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,200-9,47.606684,-122.332664,2024-11-06,44153,2025-10-29 13:53:23 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,$2 per session,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Seattle - Muni Tower,700 5th Ave,,Seattle,WA,98124,,,E,,Private,,,,,,,32,,,Non-Networked,,200-8,47.604906,-122.330278,2024-11-06,44156,2025-10-29 13:53:23 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,City of Seattle - Parking Enforcement Division,2203 Airport Way S,,Seattle,WA,98134,,,E,,Private,,,,,,,13,,,Non-Networked,,200-9,47.582934,-122.323106,2024-11-06,44158,2025-10-29 13:53:23 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,City of Seattle - Seattle Center,516 Harrison St,Located in the 5th Ave Garage,Seattle,WA,98109,,206-684-7340,E,,Public - Credit card at all times,24 hours daily; parking fee,A D M V,,,,,6,,,Non-Networked,,200-8,47.622085,-122.347124,2024-11-06,44159,2025-10-29 13:53:23 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Seattle - Seattle City Light North Service Center,1300 N 97th St,,Seattle,WA,98103,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,47.699613,-122.341922,2024-11-06,44160,2025-10-29 13:53:23 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,City of Seattle - Seattle Water Ops,2700 Airport Way S,,Seattle,WA,98134,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,47.57952,-122.321401,2024-11-06,44162,2025-10-29 13:53:23 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,City of Seattle - West Bridge,4209 W Marginal Way SW,,Seattle,WA,98106,,,E,,Private,,,,,,,2,,,Non-Networked,,200-8,47.565149,-122.353024,2024-11-06,44163,2025-10-29 13:53:23 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Advantage Nissan,5101 Auto Center Blvd,,Bremerton,WA,98312,,360-373-6300,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.562322,-122.684362,2024-02-12,44270,2025-12-31 20:14:13 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,,Vancouver,WA,98662,,360-892-9004,E,,Private,,,,,,,1,,,Non-Networked,,200-8,45.64821,-122.59841,2024-02-12,44506,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Valley Nissan,1010 S 1st St,,Yakima,WA,98901,,509-453-3125,E,,Private,,,,,,,1,,,Non-Networked,,GPS,46.590221,-120.500923,2024-02-12,44510,2025-12-31 19:33:40 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,,Monroe,WA,98272,,425-388-6619,E,,Public,8am-5pm M-F,,,,,,2,,,Non-Networked,,200-9,47.868914,-121.987449,2023-08-10,45209,2025-07-11 18:39:24 UTC,LG,,,2012-01-20,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Puget Sound Energy,6500 Ursula Pl S,,Seattle,WA,98108,,,E,,Private,Employee and guest use only,,,,,,1,,,Non-Networked,,GPS,47.54527283,-122.3087234,2024-10-11,48605,2025-10-10 13:29:22 UTC,T,,,2012-06-30,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true,
ELEC,KING COUNTY DES KSC STATION #1,201 S Jackson St,Just to the right as you enter garage,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.598663,-122.331009,2026-01-05,49230,2026-01-05 01:10:56 UTC,,,,2012-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Evergreen Ford,1500 18th Ave NW,,Issaquah,WA,98027,,,E,,Private,Service center use only,,,,,,2,,,Non-Networked,,GPS,47.547047,-122.063633,2023-09-14,51904,2025-10-09 16:19:01 UTC,P,,,2012-10-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nikola Broadband,615 N 5th Ave,,Sequim,WA,98382,,360-582-1051,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,48.08536,-123.1135,2023-06-12,51905,2025-10-09 16:39:57 UTC,P,,,2013-05-15,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,King County - Roads Maintenance Facility,155 Monroe Ave NE,,Renton,WA,98056,,,E,,Private,Fleet use only,,,,,,4,,,Non-Networked,,GPS,47.4847291,-122.1774112,2025-07-03,52142,2025-07-03 19:15:09 UTC,LG,,,2013-06-01,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Mazama Country Inn,15 Country Rd,,Mazama,WA,98833,,800-843-7951,E,,Public - Call ahead,24 hours daily; for guest use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,1,,,Non-Networked,,200-9,48.594482,-120.406494,2024-01-09,53702,2024-01-31 22:07:01 UTC,P,,,2013-11-01,,,,,J1772 NEMA1450,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,VIA6 VIA6-SOUTH,2121 6th Ave,Via 6 Apartments Parking Garage,Seattle,WA,98121,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.613883,-122.339405,2026-01-04,55995,2026-01-04 01:24:19 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,800 FIFTH AVE STATION 2,800  5th Ave,,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.605599,-122.330626,2026-01-05,56870,2026-01-05 00:57:58 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Campbell's Lake Chelan Resort,104 W Woodin Ave,,Chelan,WA,98816,,800-553-8225,E,,Public,24 hours daily; guest use only; drivers must bring their own J1772 cordset for Level 1 charging,,,,,10,1,,,Non-Networked,,200-9,47.8399,-120.0199,2025-07-03,60002,2025-07-03 19:15:09 UTC,P,,,2013-10-04,,,,,J1772 NEMA520,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Pine Near RV Park,316 Castle Ave,,Winthrop,WA,98862,,509-341-4062,E,,Public,24 hours daily; donations accepted,,,,,,1,,,Non-Networked,,200-8,48.476543,-120.180796,2024-01-09,60004,2024-01-31 22:07:01 UTC,P,,,2013-09-23,,,,,J1772,US,,,,Public,,public,,,RV_PARK,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Omak Inn,912 Koala Dr,,Omak,WA,98841,,800-204-4800  509-826-3822,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,48.421424,-119.503978,2024-01-09,60005,2024-01-31 22:07:01 UTC,P,,,2013-10-04,,,,,J1772,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,59er Diner,15361 US 2,,Leavenworth,WA,98826,,509-763-2267,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,47.758434,-120.742416,2024-01-09,60006,2024-01-31 22:07:01 UTC,P,,,2014-01-15,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,PARKMETRO1 PARK METRO #1,11101 NE 12th St,The Park Metro at the base of the entry ramp,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.620793,-122.192469,2026-01-05,60241,2026-01-05 00:58:05 UTC,,,,2014-02-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,VALLEY MED CTR MAIN LOT #8,4109-4251 Talbot Rd S,,Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.443123,-122.212538,2026-01-05,60331,2026-01-05 00:57:30 UTC,,,,2014-02-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Haselwood Chevrolet Buick GMC,501 W Hills Blvd,,Bremerton,WA,98312,,360-479-4910,E,,Public,Dealership business hours; for Chevrolet customers only,,,,,,2,,,Non-Networked,,200-9,47.557801,-122.675335,2025-07-03,60718,2025-07-03 19:15:09 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,HD,false,
ELEC,Lakeside 24 Hour Fuel,16835 Lewis River Rd,,Cougar,WA,98616,,360-238-5202,E,,Public,"6am-7pm daily; summer, 7am-6pm daily; winter",,,,,,1,,,Non-Networked,,200-9,46.051228,-122.301754,2025-06-06,60814,2025-06-06 18:42:11 UTC,P,,,2014-03-06,,,,,J1772,US,,,,Public,,public,,,GAS_STATION,,,,,,,$12 per session,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Kitsap Transit Harborside Garage,60 Washington Ave,,Bremerton,WA,98337,,855-885-9571,E,,Public,24 hours daily,,,,,,4,,,OpConnect,https://opconnect-ev.com,GPS,47.56358,-122.62531,2026-01-04,61877,2026-01-04 03:45:07 UTC,,,,2013-12-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Mount Rainier National Park,Highway 706 E,,Longmire,WA,98397,,,E,,Private - Government only,,,,,,,1,,,Non-Networked,,GPS,46.761214,-122.040397,2025-12-12,61947,2025-12-31 15:45:00 UTC,FG,16,Department of the Interior,2014-05-22,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOI,NATL_PARK,,,,,,,Free,,,,,,,,,,,,,,,Mount Rainier National Park,,,LD,true,
ELEC,Mount Rainier National Park,55210 238th Ave E,,Ashford,WA,98304,,,E,,Private - Government only,,,,,,,1,,,Non-Networked,,GPS,46.755816,-122.120894,2025-12-12,61948,2025-12-31 15:45:00 UTC,FG,16,Department of the Interior,2019-07-15,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOI,NATL_PARK,,,,,,,,,,,,,,,,,,,,,,Mount Rainier National Park,,,LD,true,
ELEC,Semiahmoo Resort,9565 Semiahmoo Pkwy,Located by the tennis courts,Blaine,WA,98230,,360-318-2000,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,GPS,48.989751,-122.773271,2025-11-13,62286,2025-11-13 20:02:17 UTC,P,,,2014-04-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
